time,reward,1,2,3,4,5,6,7,8,delay,replication
38700,0,30,30,62,34,14,30,42,35,0,8050315
30600,0,30,30,62,34,14,30,42,35,0,8050315
45000,0,30,30,62,34,14,30,42,35,0,8050315
39600,0,30,30,62,34,14,30,42,35,0,8050315
31500,0,30,30,62,15,14,30,42,35,0,8050315
40500,0,30,30,15,34,14,30,42,35,0,8050315
45900,0,30,30,62,34,14,30,42,35,0,8050315
32400,0,30,30,62,34,14,30,42,35,0,8050315
41400,0,30,30,62,34,14,30,42,35,0,8050315
46800,0,30,30,62,34,14,30,42,35,0,8050315
33300,0,30,30,62,34,14,30,42,35,0,8050315
42300,0,30,30,62,34,14,30,42,52,0,8050315
47700,0,30,30,62,34,14,30,42,35,0,8050315
34200,0,30,30,62,34,14,30,42,35,0,8050315
43200,0,30,30,62,34,14,30,42,35,0,8050315
48600,0,30,30,62,34,14,30,42,35,0,8050315
35100,0,30,30,62,34,14,30,42,35,0,8050315
44100,0,30,30,62,69,14,30,42,35,0,8050315
49500,0,30,30,62,34,14,30,42,35,0,8050315
36000,0,30,30,62,34,14,30,42,35,0,8050315
50400,0,30,30,62,34,14,30,42,35,0,8050315
45000,0,30,30,62,34,14,30,42,35,0,8050315
36900,0,30,30,62,34,30,30,42,35,0,8050315
51300,0,30,30,62,34,14,30,42,35,0,8050315
45900,0,30,30,62,34,14,30,42,35,0,8050315
37800,0,30,30,62,34,14,30,42,35,0,8050315
52200,0,30,30,62,34,14,30,42,35,0,8050315
46800,0,30,30,62,34,14,30,42,35,0,8050315
38700,0,30,30,62,34,14,30,42,35,0,8050315
53100,0,30,30,62,34,14,30,42,35,0,8050315
47700,0,30,30,62,34,14,30,42,35,0,8050315
39600,0,30,30,62,34,14,30,42,35,0,8050315
54000,0,30,30,62,34,14,30,42,35,0,8050315
48600,0,30,30,62,34,30,30,42,35,0,8050315
40500,0,30,30,15,34,14,30,42,35,0,8050315
54900,0,30,30,62,34,14,30,42,35,0,8050315
49500,0,30,30,62,34,14,30,42,35,0,8050315
41400,0,30,30,62,34,14,30,42,35,0,8050315
50400,0,30,30,62,34,14,30,42,35,0,8050315
55800,0,30,30,62,34,14,30,42,35,0,8050315
42300,0,30,30,62,34,14,30,42,35,0,8050315
51300,0,30,30,62,34,14,30,42,35,0,8050315
43200,0,30,30,62,34,14,30,42,35,0,8050315
52200,0,30,30,62,34,14,30,42,35,0,8050315
